kod_stacji,nazwa_stacji,lon,lat,temperatura_gruntu,temperatura_gruntu_data,wiatr_kierunek,wiatr_kierunek_data,wiatr_srednia_predkosc,wiatr_srednia_predkosc_data,wiatr_predkosc_maksymalna,wiatr_predkosc_maksymalna_data,wilgotnosc_wzgledna,wilgotnosc_wzgledna_data,wiatr_poryw_10min,wiatr_poryw_10min_data,opad_10min,opad_10min_data
252210290,RYBIENKO,21.429167,52.577778,,,,,,,,,,,,,0,2025-01-28 17:50:00
351230497,WŁODAWA,23.529444,51.553333,8.2,2025-01-28 17:50:00,147,2025-01-28 17:50:00,3.1,2025-01-28 17:50:00,4.4,2025-01-28 17:50:00,72,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
352220385,SIEDLCE,22.244722,52.181111,7.5,2025-01-28 17:50:00,134,2025-01-28 17:50:00,3.3,2025-01-28 17:50:00,5.5,2025-01-28 17:50:00,79,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
250240010,STRZYŻÓW,24.035556,50.84,,,,,,,,,,,,,0,2025-01-28 17:50:00
352230399,TERESPOL,23.621944,52.078611,7.4,2025-01-28 17:50:00,144,2025-01-28 17:50:00,3.5,2025-01-28 17:50:00,6.2,2025-01-28 17:50:00,75,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
250230070,TOMASZÓW LUBELSKI,23.398889,50.458056,9.83,2025-01-28 17:50:00,146,2025-01-28 17:50:00,1.6,2025-01-28 17:50:00,3.5,2025-01-28 17:50:00,52.27,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
252230190,CICIBÓR,23.109444,52.076944,7.2,2025-01-28 17:50:00,139,2025-01-28 17:50:00,1.8,2025-01-28 17:50:00,3.8,2025-01-28 17:50:00,76.3,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
252190120,ŻYCHLIN,19.623056,52.242778,,,,,,,,,,,,,0,2025-01-28 17:50:00
253190030,DOBROCIN,19.828056,53.908333,6.88,2025-01-28 17:50:00,141,2025-01-28 17:50:00,2.2,2025-01-28 17:50:00,4.2,2025-01-28 17:50:00,86.93,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
253190220,LIDZBARK,19.824167,53.254444,6.14,2025-01-28 17:50:00,122,2025-01-28 17:50:00,2.9,2025-01-28 17:50:00,5.5,2025-01-28 17:50:00,94.89,2025-01-28 17:50:00,,,0,2025-01-28 17:50:00
